date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:57:01	36946/36946	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Apr%202018%2019:21:24%20GMT	https://mobiledirectflooring.com/thank-you-schedule/	mobiledirectflooring.com/thank-you-schedule/index.html	(from https://mobiledirectflooring.com/)
13:57:02	19667/19667	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2010%20May%202018%2017:57:01%20GMT	https://mobiledirectflooring.com/wp-content/plugins/divi-overlays/ajax-handler-wp.php	mobiledirectflooring.com/wp-content/plugins/divi-overlays/ajax-handler-wp.php	(from https://mobiledirectflooring.com/)
13:57:02	14551/14551	---M--	200	added ('OK')	application/javascript	date:Thu,%2022%20Mar%202018%2008:13:21%20GMT	https://mobiledirectflooring.com/wp-content/plugins/contact-form-7/includes/js/scripts.js?ver=5.0.1	mobiledirectflooring.com/wp-content/plugins/contact-form-7/includes/js/scripts972f.js	(from https://mobiledirectflooring.com/)
13:57:03	1319/1319	---M--	200	added ('OK')	application/javascript	date:Tue,%2010%20Apr%202018%2005:12:14%20GMT	https://mobiledirectflooring.com/wp-content/plugins/wpcf7-redirect/js/wpcf7-redirect-script.js	mobiledirectflooring.com/wp-content/plugins/wpcf7-redirect/js/wpcf7-redirect-script.js	(from https://mobiledirectflooring.com/)
13:57:05	249751/249751	---M--	200	added ('OK')	application/javascript	date:Fri,%2004%20May%202018%2013:49:09%20GMT	https://mobiledirectflooring.com/wp-content/themes/Divi/js/custom.min.js?ver=3.2.1	mobiledirectflooring.com/wp-content/themes/Divi/js/custom.mindeae.js	(from https://mobiledirectflooring.com/)
13:57:05	1309/1309	---M--	200	added ('OK')	application/javascript	date:Fri,%2004%20May%202018%2013:49:03%20GMT	https://mobiledirectflooring.com/wp-content/themes/Divi/core/admin/js/common.js?ver=3.2.1	mobiledirectflooring.com/wp-content/themes/Divi/core/admin/js/commondeae.js	(from https://mobiledirectflooring.com/)
13:57:06	1398/1398	---M--	200	added ('OK')	application/javascript	date:Wed,%2023%20Nov%202016%2008:08:34%20GMT	https://mobiledirectflooring.com/wp-includes/js/wp-embed.min.js?ver=4.9.5	mobiledirectflooring.com/wp-includes/js/wp-embed.min55fe.js	(from https://mobiledirectflooring.com/)
13:57:07	1552/1552	---M--	200	added ('OK')	application/javascript	date:Fri,%2020%20Apr%202018%2017:02:30%20GMT	https://mobiledirectflooring.com/wp-content/plugins/divi-overlays/overlay-effects/js/jquery.exitintent.min.js?ver=4.9.5	mobiledirectflooring.com/wp-content/plugins/divi-overlays/overlay-effects/js/jquery.exitintent.min55fe.js	(from https://mobiledirectflooring.com/)
13:57:08	22360/22360	---M--	200	added ('OK')	application/javascript	date:Fri,%2020%20Apr%202018%2017:02:30%20GMT	https://mobiledirectflooring.com/wp-content/plugins/divi-overlays/overlay-effects/js/custom.js?ver=4.9.5	mobiledirectflooring.com/wp-content/plugins/divi-overlays/overlay-effects/js/custom55fe.js	(from https://mobiledirectflooring.com/)
13:57:09	135337/135337	---M--	200	added ('OK')	image/jpeg	date:Thu,%2005%20Apr%202018%2007:06:59%20GMT	https://mobiledirectflooring.com/wp-content/uploads/2018/04/slider-image1.jpg	mobiledirectflooring.com/wp-content/uploads/2018/04/slider-image1.jpg	(from https://mobiledirectflooring.com/)
13:57:10	0/-1	---M--	302	error ('')			http://mobiledirectflooring.com/wp-content/cache/wpfc-minified/d65orenb/fqs4g.css	mobiledirectflooring.com/wp-content/cache/wpfc-minified/d65orenb/fqs4g.2b.delayed	(from https://mobiledirectflooring.com/financing-for-flooring/)
13:57:11	270/270	---M--	302	error ('Found')	text/html	date:Thu,%2010%20May%202018%2017:57:10%20GMT	http://mobiledirectflooring.com/wp-content/cache/wpfc-minified/folashww/fqs4g.css	mobiledirectflooring.com/wp-content/cache/wpfc-minified/folashww/fqs4g.2c.delayed	(from https://mobiledirectflooring.com/financing-for-flooring/)
13:57:12	2342/2342	---MC-	200	added ('OK')	application/json	date:Thu,%2010%20May%202018%2017:57:11%20GMT	https://mobiledirectflooring.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmobiledirectflooring.com%2Ffinancing-for-flooring%2F	mobiledirectflooring.com/wp-json/oembed/1.0/embed86c9.json	(from https://mobiledirectflooring.com/financing-for-flooring/)
13:57:14	270/270	---M--	302	error ('Found')	text/html	date:Thu,%2010%20May%202018%2017:57:14%20GMT	http://mobiledirectflooring.com/wp-content/cache/wpfc-minified/30sifq9m/3ukee.css	mobiledirectflooring.com/wp-content/cache/wpfc-minified/30sifq9m/3ukee.css	(from https://mobiledirectflooring.com/financing-for-flooring/)
13:57:14	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2010%20May%202018%2017:57:12%20GMT	https://mobiledirectflooring.com/?p=250	mobiledirectflooring.com/indexc807.html	(from https://mobiledirectflooring.com/financing-for-flooring/)
